city,longitude,latitude,code
北京,116.395645,39.929986,010000
上海,121.487899,31.249162,020000
天津,117.210813,39.14393,050000
重庆,106.530635,29.544606,060000
香港,114.186124,22.293586,330000
澳门,113.557519,22.204118,340000
台湾,120.961454,23.80406,350000
合肥,117.282699,31.866942,150200
安庆,117.058739,30.537898,150400
蚌埠,117.35708,32.929499,150600
亳州,115.787928,33.871211,151800
巢湖市,117.88049,31.608733,150211
池州,117.494477,30.660019,151500
滁州,118.32457,32.317351,150900
阜阳,115.820932,32.901211,150700
淮北,116.791447,33.960023,151700
淮南,117.018639,32.642812,151100
黄山,118.29357,29.734435,151000
六安,116.505253,31.755558,151200
马鞍山,118.515882,31.688528,150500
宿州,116.988692,33.636772,151600
铜陵,117.819429,30.94093,150800
芜湖,118.384108,31.36602,150300
宣城,118.752096,30.951642,151400
福州,119.330221,26.047125,110200
龙岩,117.017997,25.078685,111000
南平,118.181883,26.643626,110800
宁德,119.542082,26.656527,110900
莆田,119.077731,25.44845,110600
泉州,118.600362,24.901652,110400
三明,117.642194,26.270835,110700
厦门,118.103886,24.489231,110300
漳州,117.676205,24.517065,110500
兰州,103.823305,36.064226,270200
白银,104.171241,36.546682,270800
定西,104.626638,35.586056,271100
甘南,102.917442,34.992211,271500
嘉峪关,98.281635,39.802397,270400
金昌,102.208126,38.516072,270300
酒泉,98.508415,39.741474,270500
临夏,103.215249,35.598514,271400
陇南,104.934573,33.39448,271200
平凉,106.688911,35.55011,271000
庆阳,107.644227,35.726801,271300
天水,105.736932,34.584319,270600
武威,102.640147,37.933172,270700
张掖,100.459892,38.93932,270900
广州,113.30765,23.120049,030200
潮州,116.630076,23.661812,032000
东莞,113.763434,23.043024,030800
佛山,113.134026,23.035095,030600
河源,114.713721,23.757251,032100
惠州,114.410658,23.11354,030300
江门,113.078125,22.575117,031500
揭阳,116.379501,23.547999,032200
茂名,110.931245,21.668226,032300
梅州,116.126403,24.304571,032600
清远,113.040773,23.698469,031900
汕头,116.72865,23.383908,030400
汕尾,115.372924,22.778731,032400
韶关,113.594461,24.80296,031400
深圳,114.025974,22.546054,040000
阳江,111.97701,21.871517,032800
云浮,112.050946,22.937976,032900
湛江,110.365067,21.257463,031700
肇庆,112.479653,23.078663,031800
中山,113.42206,22.545178,030700
珠海,113.562447,22.256915,030500
南宁,108.297234,22.806493,140200
百色,106.631821,23.901512,141100
北海,109.122628,21.472718,140500
崇左,107.357322,22.415455,141400
防城港,108.351791,21.617398,140800
桂林,110.26092,25.262901,140300
贵港,109.613708,23.103373,141000
河池,108.069948,24.699521,141200
贺州,111.552594,24.411054,141500
来宾,109.231817,23.741166,141300
柳州,109.422402,24.329053,140400
钦州,108.638798,21.97335,140900
梧州,111.305472,23.485395,140700
玉林,110.151676,22.643974,140600
贵阳,106.709177,26.629907,260200
安顺,105.92827,26.228595,260500
毕节,105.300492,27.302612,260700
六盘水,104.852087,26.591866,260400
铜仁,109.196161,27.726271,260600
遵义,106.93126,27.699961,260300
黔西南,104.900558,25.095148,260800
黔东南,107.985353,26.583992,260900
黔南,107.523205,26.264536,261000
海口,110.330802,20.022071,100200
白沙,109.358586,19.216056,101800
保亭,109.656113,18.597592,101700
昌江,109.0113,19.222483,101900
儋州,109.413973,19.571153,100800
澄迈,109.996736,19.693135,101300
东方,108.85101,18.998161,100900
定安,110.32009,19.490991,101100
琼海,110.414359,19.21483,100600
琼中,109.861849,19.039771,101600
